site_id,time,CO,NO2,O3,PM10,PM25,SO2
1,2020-12-05 00:00:00,409.7,4.0,0.0,40.4,33.7,0.0
1,2020-12-05 01:00:00,316.8,3.9,0.0,52.8,32.3,0.0
1,2020-12-05 02:00:00,311.7,5.0,0.0,40.5,25.2,0.0
1,2020-12-05 03:00:00,299.2,2.6,0.0,30.4,20.6,0.0
1,2020-12-05 04:00:00,321.8,1.3,0.0,42.7,29.8,0.0
1,2020-12-05 05:00:00,352.8,2.7,0.0,36.0,27.8,0.0
1,2020-12-05 06:00:00,336.5,5.0,0.0,52.9,41.0,0.0
1,2020-12-05 07:00:00,398.5,8.9,0.0,34.1,28.2,0.0
1,2020-12-05 08:00:00,533.9,11.0,0.0,40.3,22.5,0.0
1,2020-12-05 09:00:00,542.9,12.7,0.0,35.8,24.1,0.0
1,2020-12-05 10:00:00,579.0,11.9,0.0,44.4,26.7,0.0
1,2020-12-05 11:00:00,616.3,15.1,0.0,41.1,25.8,0.0
1,2020-12-05 12:00:00,568.3,18.9,0.0,44.1,27.3,0.0
1,2020-12-05 13:00:00,541.7,7.5,0.0,39.1,32.8,0.0
1,2020-12-05 14:00:00,525.7,9.2,0.0,35.2,29.5,0.0
1,2020-12-05 15:00:00,564.5,8.1,0.0,31.7,25.7,0.0
1,2020-12-05 16:00:00,609.3,16.2,0.0,36.7,30.2,0.0
1,2020-12-05 17:00:00,872.2,20.1,0.0,47.3,37.4,0.0
1,2020-12-05 18:00:00,1680.3,10.7,0.0,50.8,30.5,0.0
1,2020-12-05 19:00:00,1843.6,11.2,0.0,54.5,32.7,0.0
1,2020-12-05 20:00:00,1678.2,14.0,0.0,59.3,35.6,0.0
1,2020-12-05 21:00:00,1584.0,14.5,0.0,70.4,36.2,0.0
1,2020-12-05 22:00:00,1111.5,11.6,0.0,75.2,38.6,0.0
1,2020-12-05 23:00:00,988.9,9.3,0.0,67.0,34.5,0.0
1,2020-12-06 00:00:00,911.2,6.8,0.0,78.6,40.3,0.0
1,2020-12-06 01:00:00,695.9,9.9,0.0,83.2,42.6,0.0
1,2020-12-06 02:00:00,622.3,10.0,0.0,88.8,45.4,0.0
1,2020-12-06 03:00:00,718.5,13.3,0.0,84.4,43.2,0.0
1,2020-12-06 04:00:00,768.0,9.2,0.0,77.2,39.6,0.0
1,2020-12-06 05:00:00,679.2,10.3,0.0,83.8,42.9,0.0
1,2020-12-06 06:00:00,848.2,11.3,0.0,87.0,44.5,0.0
1,2020-12-06 07:00:00,989.1,12.4,0.0,93.4,47.7,0.0
1,2020-12-06 08:00:00,1027.2,19.8,0.0,94.9,48.8,0.0
1,2020-12-06 09:00:00,823.4,10.5,0.0,73.5,40.9,0.0
1,2020-12-06 10:00:00,974.8,10.1,0.0,68.7,35.9,0.0
1,2020-12-06 11:00:00,754.1,9.4,0.0,65.7,33.5,0.0
1,2020-12-06 12:00:00,753.9,10.0,0.0,55.3,30.2,0.0
1,2020-12-06 13:00:00,740.6,10.9,0.0,54.8,32.7,0.0
1,2020-12-06 14:00:00,668.0,9.7,0.0,52.4,30.3,0.0
1,2020-12-06 15:00:00,593.1,10.0,0.0,40.4,29.2,0.0
1,2020-12-06 16:00:00,650.2,11.2,0.0,56.9,36.3,0.0
1,2020-12-06 17:00:00,1082.1,12.2,0.0,65.5,38.4,0.0
1,2020-12-06 18:00:00,1806.1,15.8,0.0,77.1,42.8,0.0
1,2020-12-06 19:00:00,2305.8,23.8,0.0,83.0,44.0,0.0
1,2020-12-06 20:00:00,1495.7,32.8,0.0,107.8,71.4,0.0
1,2020-12-06 21:00:00,1143.9,21.3,0.0,95.8,67.9,0.0
1,2020-12-06 22:00:00,995.8,24.7,0.0,116.2,65.9,0.0
1,2020-12-06 23:00:00,927.8,27.0,0.0,121.8,73.5,0.0
1,2020-12-07 00:00:00,785.2,24.4,0.0,123.7,75.7,0.0
1,2020-12-07 01:00:00,762.0,23.8,0.0,101.6,72.4,0.0
1,2020-12-07 02:00:00,673.4,20.0,0.0,117.9,71.9,0.0
1,2020-12-07 03:00:00,686.8,27.1,0.0,120.5,80.2,0.0
1,2020-12-07 04:00:00,807.2,24.0,0.0,143.7,86.7,0.0
1,2020-12-07 05:00:00,613.6,26.2,0.0,118.3,72.4,0.0
1,2020-12-07 06:00:00,575.2,19.4,0.0,84.9,60.5,0.0
1,2020-12-07 07:00:00,734.4,22.7,0.0,85.2,62.9,0.0
1,2020-12-07 08:00:00,1090.0,28.4,0.0,96.1,60.7,0.0
1,2020-12-07 09:00:00,946.5,20.1,0.0,70.1,53.7,0.0
1,2020-12-07 10:00:00,827.9,13.9,0.0,64.2,47.1,0.0
1,2020-12-07 11:00:00,825.9,9.6,0.0,85.5,51.6,0.0
1,2020-12-07 12:00:00,816.0,15.2,0.0,75.9,52.5,0.0
1,2020-12-07 13:00:00,807.8,20.0,0.0,66.8,47.8,0.0
1,2020-12-07 14:00:00,801.4,20.1,0.0,58.5,45.3,0.0
1,2020-12-07 15:00:00,844.5,21.6,0.0,57.3,46.6,0.0
1,2020-12-07 16:00:00,972.9,26.4,0.0,84.8,67.2,0.0
1,2020-12-07 17:00:00,1134.7,30.1,0.0,108.5,73.0,0.0
1,2020-12-07 18:00:00,1396.1,30.4,0.0,96.8,61.8,0.0
1,2020-12-07 19:00:00,1441.1,25.3,0.0,92.7,63.1,0.0
