site_id,time,CO,NO2,O3,PM10,PM25,SO2
8,2020-12-05 00:00:00,422.3,0.7,0.0,30.6,23.9,0.0
8,2020-12-05 01:00:00,371.8,0.4,0.0,31.9,25.4,0.0
8,2020-12-05 02:00:00,393.0,0.5,0.0,38.2,20.4,0.0
8,2020-12-05 03:00:00,330.9,0.8,0.0,39.2,20.1,0.0
8,2020-12-05 04:00:00,273.6,0.2,0.0,37.9,28.0,0.0
8,2020-12-05 05:00:00,277.6,1.3,0.0,31.8,24.0,0.0
8,2020-12-05 06:00:00,312.4,2.7,0.0,29.8,22.4,0.0
8,2020-12-05 07:00:00,427.0,5.6,0.0,41.0,30.8,0.0
8,2020-12-05 08:00:00,557.1,3.7,0.0,24.9,18.6,0.0
8,2020-12-05 09:00:00,575.4,3.8,0.0,21.5,15.9,0.0
8,2020-12-05 10:00:00,565.7,5.6,0.0,24.9,17.4,0.0
8,2020-12-05 11:00:00,561.1,3.9,0.0,21.0,14.5,0.0
8,2020-12-05 12:00:00,564.0,6.8,0.0,24.0,18.0,0.0
8,2020-12-05 13:00:00,549.1,1.0,0.0,41.7,32.8,0.0
8,2020-12-05 14:00:00,525.9,1.2,0.0,37.5,29.4,0.0
8,2020-12-05 15:00:00,510.1,1.5,0.0,36.6,27.3,0.0
8,2020-12-05 16:00:00,497.0,7.9,0.0,35.1,26.2,0.0
8,2020-12-05 17:00:00,669.5,14.4,0.0,49.3,37.0,0.0
8,2020-12-05 18:00:00,1124.8,4.3,0.0,25.5,15.3,0.0
8,2020-12-05 19:00:00,1551.7,7.0,0.0,36.5,21.9,0.0
8,2020-12-05 20:00:00,1773.4,11.1,0.0,44.8,26.9,0.0
8,2020-12-05 21:00:00,2197.8,28.1,0.0,47.2,29.5,0.0
8,2020-12-05 22:00:00,1050.1,9.8,0.0,45.7,28.6,0.0
8,2020-12-05 23:00:00,918.8,7.3,0.0,40.3,25.4,0.0
8,2020-12-06 00:00:00,690.5,3.6,0.0,33.5,21.3,0.0
8,2020-12-06 01:00:00,731.8,2.1,0.0,36.5,23.1,0.0
8,2020-12-06 02:00:00,640.2,0.5,0.0,31.5,20.1,0.0
8,2020-12-06 03:00:00,627.5,1.0,0.0,40.0,25.2,0.0
8,2020-12-06 04:00:00,705.1,2.3,0.0,47.0,29.4,0.0
8,2020-12-06 05:00:00,725.9,1.3,0.0,40.8,25.7,0.0
8,2020-12-06 06:00:00,691.5,2.1,0.0,52.0,32.4,0.0
8,2020-12-06 07:00:00,1007.1,2.5,0.0,63.7,39.4,0.0
8,2020-12-06 08:00:00,1064.9,2.1,0.0,59.3,36.9,0.0
8,2020-12-06 09:00:00,845.9,1.9,0.0,46.1,30.9,0.0
8,2020-12-06 10:00:00,947.5,3.1,0.0,44.1,28.2,0.0
8,2020-12-06 11:00:00,929.9,2.8,0.0,28.0,19.2,0.0
8,2020-12-06 12:00:00,753.8,2.5,0.0,25.9,18.1,0.0
8,2020-12-06 13:00:00,613.5,2.0,0.0,64.2,29.8,0.0
8,2020-12-06 14:00:00,527.4,1.7,0.0,59.0,27.6,0.0
8,2020-12-06 15:00:00,467.0,1.7,0.0,46.9,24.0,0.0
8,2020-12-06 16:00:00,492.1,1.2,0.0,56.0,32.5,0.0
8,2020-12-06 17:00:00,574.7,2.2,0.0,54.3,34.3,0.0
8,2020-12-06 18:00:00,892.8,5.5,0.0,59.0,35.1,0.0
8,2020-12-06 19:00:00,1915.4,19.3,0.0,65.6,40.5,0.0
8,2020-12-06 20:00:00,1040.7,25.1,0.0,81.8,57.3,0.0
8,2020-12-06 21:00:00,737.3,24.5,0.0,83.1,52.4,0.0
8,2020-12-06 22:00:00,626.5,18.9,0.0,95.3,58.3,0.0
8,2020-12-06 23:00:00,676.9,18.5,0.0,68.9,49.1,0.0
8,2020-12-07 00:00:00,812.8,18.7,0.0,80.2,48.9,0.0
8,2020-12-07 01:00:00,736.6,19.4,0.0,75.4,50.2,0.0
8,2020-12-07 02:00:00,747.2,21.5,0.0,90.0,54.3,0.0
8,2020-12-07 03:00:00,580.6,16.1,0.0,92.8,56.8,0.0
8,2020-12-07 04:00:00,669.0,16.7,0.0,81.8,58.3,0.0
8,2020-12-07 05:00:00,550.3,19.2,0.0,83.5,50.9,0.0
8,2020-12-07 06:00:00,530.3,18.5,0.0,72.7,48.4,0.0
8,2020-12-07 07:00:00,639.3,12.6,0.0,66.1,46.0,0.0
8,2020-12-07 08:00:00,900.4,22.2,0.0,67.8,48.8,0.0
8,2020-12-07 09:00:00,770.2,17.6,0.0,65.1,41.2,0.0
8,2020-12-07 10:00:00,701.4,12.0,0.0,58.9,45.5,0.0
8,2020-12-07 11:00:00,693.9,11.5,0.0,49.6,37.3,0.0
8,2020-12-07 12:00:00,675.1,9.0,0.0,38.5,26.3,0.0
8,2020-12-07 13:00:00,692.7,2.1,0.0,54.3,35.0,0.0
8,2020-12-07 14:00:00,614.8,1.5,0.0,61.0,33.4,0.0
8,2020-12-07 15:00:00,599.1,2.2,0.0,58.9,30.9,0.0
