site_id,time,CO,NO2,O3,PM10,PM25,SO2
7,2020-12-05 00:00:00,258.1,10.5,0.0,95.4,45.9,0.0
7,2020-12-05 01:00:00,118.4,8.7,0.0,65.2,36.2,0.0
7,2020-12-05 02:00:00,174.3,9.4,0.0,54.7,28.0,0.0
7,2020-12-05 03:00:00,156.2,5.3,0.0,54.9,25.0,0.0
7,2020-12-05 04:00:00,140.9,3.9,0.0,60.0,33.7,0.0
7,2020-12-05 05:00:00,157.6,5.7,0.0,53.1,27.7,0.0
7,2020-12-05 06:00:00,144.3,9.0,0.0,62.2,36.2,0.0
7,2020-12-05 07:00:00,279.8,16.1,0.0,73.5,40.2,0.0
7,2020-12-05 08:00:00,569.6,15.6,0.0,50.8,25.9,0.0
7,2020-12-05 09:00:00,857.5,20.1,0.0,38.8,29.9,0.0
7,2020-12-05 10:00:00,710.7,20.6,0.0,44.0,32.8,0.0
7,2020-12-05 11:00:00,967.9,20.0,0.0,62.4,30.7,0.0
7,2020-12-05 12:00:00,1141.1,22.4,0.0,67.0,38.2,0.0
7,2020-12-05 13:00:00,812.5,16.4,0.0,53.1,26.0,0.0
7,2020-12-05 14:00:00,831.8,14.6,0.0,40.9,24.4,0.0
7,2020-12-05 15:00:00,1008.7,19.7,0.0,51.5,27.3,0.0
7,2020-12-05 16:00:00,1702.7,20.5,0.0,63.2,28.3,0.0
7,2020-12-05 17:00:00,2375.1,31.6,0.0,58.5,37.2,0.0
7,2020-12-05 18:00:00,1431.2,12.3,0.0,60.8,30.4,0.0
7,2020-12-05 19:00:00,1663.2,14.8,0.0,68.6,34.3,0.0
7,2020-12-05 20:00:00,2010.8,17.3,0.0,81.0,40.5,0.0
7,2020-12-05 21:00:00,2642.8,21.9,0.0,84.8,42.4,0.0
7,2020-12-05 22:00:00,1624.1,17.6,0.0,91.2,45.6,0.0
7,2020-12-05 23:00:00,1193.9,15.4,0.0,128.6,64.3,0.0
7,2020-12-06 00:00:00,556.8,10.2,0.0,100.8,50.4,0.0
7,2020-12-06 01:00:00,480.4,7.8,0.0,86.8,43.4,0.0
7,2020-12-06 02:00:00,406.4,8.0,0.0,111.2,55.6,0.0
7,2020-12-06 03:00:00,362.9,6.7,0.0,103.0,51.5,0.0
7,2020-12-06 04:00:00,324.9,5.8,0.0,87.2,43.6,0.0
7,2020-12-06 05:00:00,279.7,10.1,0.0,97.4,48.7,0.0
7,2020-12-06 06:00:00,492.4,11.5,0.0,91.2,45.6,0.0
7,2020-12-06 07:00:00,697.8,14.5,0.0,101.6,50.8,0.0
7,2020-12-06 08:00:00,1502.6,24.7,0.0,113.6,55.9,0.0
7,2020-12-06 09:00:00,1771.8,21.6,0.0,97.2,48.6,0.0
7,2020-12-06 10:00:00,909.1,20.6,0.0,88.9,45.8,0.0
7,2020-12-06 11:00:00,772.2,10.2,0.0,84.4,43.5,0.0
7,2020-12-06 12:00:00,946.4,20.1,0.0,82.0,41.3,0.0
7,2020-12-06 13:00:00,858.6,20.4,0.0,61.5,39.3,0.0
7,2020-12-06 14:00:00,530.4,19.1,0.0,54.8,35.8,0.0
7,2020-12-06 15:00:00,570.4,20.1,0.0,58.5,40.2,0.0
7,2020-12-06 16:00:00,607.8,18.6,0.0,63.8,42.0,0.0
7,2020-12-06 17:00:00,564.3,24.1,0.0,71.8,40.0,0.0
7,2020-12-06 18:00:00,700.6,27.0,0.0,74.8,43.5,0.0
7,2020-12-06 19:00:00,2939.3,23.8,0.0,79.9,45.6,0.0
7,2020-12-06 20:00:00,2490.2,45.7,0.0,128.8,79.3,0.0
7,2020-12-06 21:00:00,1647.7,40.7,0.0,136.2,77.1,0.0
7,2020-12-06 22:00:00,476.8,46.5,0.0,107.8,60.9,0.0
7,2020-12-06 23:00:00,430.3,55.8,0.0,126.4,66.1,0.0
7,2020-12-07 00:00:00,398.3,44.8,0.0,98.5,51.5,0.0
7,2020-12-07 01:00:00,308.5,43.3,0.0,93.3,53.6,0.0
7,2020-12-07 02:00:00,318.4,40.0,0.0,115.2,64.8,0.0
7,2020-12-07 03:00:00,302.3,37.5,0.0,114.7,67.7,0.0
7,2020-12-07 04:00:00,403.4,33.1,0.0,124.8,62.4,0.0
7,2020-12-07 05:00:00,258.8,30.4,0.0,131.7,70.4,0.0
7,2020-12-07 06:00:00,296.1,34.3,0.0,123.0,67.1,0.0
7,2020-12-07 07:00:00,871.0,35.2,0.0,129.0,70.4,0.0
7,2020-12-07 08:00:00,1938.1,40.8,0.0,132.9,73.9,0.0
7,2020-12-07 09:00:00,2406.4,32.2,0.0,103.3,67.5,0.0
7,2020-12-07 10:00:00,1689.5,20.9,0.0,118.8,63.7,0.0
